Ref,Part,Pin/Signal,Net,Connects
U1,Pico2 RP2350,GP4,I2C_SDA,U4.SDA;U5.SDA;U6.SDA;U11.SDA;R1
U1,Pico2 RP2350,GP5,I2C_SCL,U4.SCL;U5.SCL;U6.SCL;U11.SCL;R2
U1,Pico2 RP2350,GP6,LOAD_EN,U10.EN
U1,Pico2 RP2350,GP7,INTERLOCK_PROOF,INTERLOCK_SW
U1,Pico2 RP2350,GP8,FAULT_IN,FAULT_CHAIN
U1,Pico2 RP2350,GP9,TIMER_A_OK,U8.OUT
U1,Pico2 RP2350,GP10,TIMER_B_OK,U9.OUT
U1,Pico2 RP2350,GP11,LOAD_FB,FB_SENSE
U1,Pico2 RP2350,GP16,SD_MISO,U7.MISO
U1,Pico2 RP2350,GP17,SD_CS,U7.CS
U1,Pico2 RP2350,GP18,SD_SCK,U7.SCK
U1,Pico2 RP2350,GP19,SD_MOSI,U7.MOSI
U1,Pico2 RP2350,GP20,HAPTIC_CTRL,U6.IN
U1,Pico2 RP2350,GP21,USER_TEST,TEST_SW
U1,Pico2 RP2350,GP25,STATUS_LED,LED_STATUS
U2,Bruce ESP32-S3,UART_TX,BRUCE_TX,U1.TELEMETRY_RX
U2,Bruce ESP32-S3,UART_RX,BRUCE_RX,U1.TELEMETRY_TX
U3,ESP32 AUX,UART_TX,AUX_TX,U1.AUX_RX
U3,ESP32 AUX,UART_RX,AUX_RX,U1.AUX_TX
U4,LIS2DU12/LIS3DH,SDA,I2C_SDA,U1.GP4
U4,LIS2DU12/LIS3DH,SCL,I2C_SCL,U1.GP5
U5,AS7343,SDA,I2C_SDA,U1.GP4
U5,AS7343,SCL,I2C_SCL,U1.GP5
U6,DRV2605L,SDA,I2C_SDA,U1.GP4
U6,DRV2605L,SCL,I2C_SCL,U1.GP5
U11,PCA9685,SDA,I2C_SDA,U1.GP4
U11,PCA9685,SCL,I2C_SCL,U1.GP5
U7,microSD,MISO,SD_MISO,U1.GP16
U7,microSD,CS,SD_CS,U1.GP17
U7,microSD,SCK,SD_SCK,U1.GP18
U7,microSD,MOSI,SD_MOSI,U1.GP19
U8,LTC6993,OUT,TIMER_A_OK,U1.GP9
U9,LTC6993,OUT,TIMER_B_OK,U1.GP10
U10,TPS22919B,EN,LOAD_PERMISSION,PERMISSION_GATE
U10,TPS22919B,OUT,TEST_LOAD_VSW,LOAD1
LOAD1,LED+RESISTOR,POWER,TEST_LOAD_VSW,U10.OUT
IR1,850/940nm low-power LED,ANODE,IR_SW,IRDRV.OUT
IRDRV,logic-level MOSFET,CONTROL,IR_PWM,U11.PWM_OUT
VIS1,low-voltage LED assembly,CONTROL,VIS_PWM,U11.PWM_OUT
